Produit;Type of Food (100g);Energy (Kcal);Protein (g);Fat (g);Water (g);Vitamin A (mg);Vitamin B1 (mg);Vitamin B2 (mg);Vitamin C;
P38;Beef, brisket, raw;250;17;20;62;0;0,05;0,15;0;
P39;Beef, corned (canned);220;27;12;59;0;0;0,2;0;
P40;Beef, minced, raw;220;19;16;64;0;0,06;0,3;0;
P41;Beef, minced, stewed;230;23;15;59;0;0,05;0,33;0;
P42;Beef, rump steak, fried;250;29;15;56;0;0,08;0,35;0;
P43;Beef, rump steak, grilled;220;27;12;59;0;0,08;0,3;0;
P44;Beef, rump steak, raw;200;19;14;67;0;0,08;0,26;0;
P45;Beef, silverside, salted;240;29;14;54;0;0,03;0,3;0;
P46;Beef, sirloin, raw;270;17;23;59;0;0,04;0,2;0;
P47;Beef, sirloin, roast;280;24;21;54;0;0,06;0,25;0;
P48;Beef, topside, raw;180;20;11;68;0;0,05;0,21;0;
P49;Beef, topside, roast;200;27;12;60;0;0,07;0,31;0;
P50;Beef, brisket, boiled;320;27;24;48;0;0,04;0,3;0;
P51;Beer, bitter;30;0;0;100;0;0;0;0;
P52;Beer, lager;30;0;0;100;0;0;0;0;
P53;Beer, stout;40;0;0;87;0;0;0;0;
P54;Beetroot, boiled;45;1,8;0;83;0;0;0,04;5;
P55;Beetroot, raw;30;1,3;0;87;0;0,03;0,05;5;
P56;Bemax;350;26,5;8;6;0;1,5;0,6;0;
P57;Bilberries;60;0,5;0;85;15;0;0;20;
P58;Biscuits, chocolate coated;520;6;27;2;0;0,03;0,15;0;
P59;Biscuits, cream crackers;440;9,5;16;4;0;0,15;0,1;0;
P60;Biscuits, digestive, plain;470;10;20;4,5;0;0,15;0,1;0;
P61;Biscuits, semi-sweet;460;7;17;2,5;0;0,15;0,1;0;
P62;Biscuits, shortbread;500;6;26;5;250;0,15;0;0;
P63;Biscuits, wafers, filled;540;5;30;2;0;0,1;0,1;0;
P64;Biscuits, water;440;11;12,5;4,5;0;0,1;0,03;0;
P65;Black pudding, fried;300;13;22;44;0;0,1;0,1;0;
P66;Blackberries;30;1,5;0;80;15;0,03;0,04;20;
P67;Blackcurrants;30;1;0;77;30;0,03;0,06;200;
P68;Bloater, grilled;250;24;17;56;50;0;0,2;0;
P69;Bounty bar;470;5;26;8;0;0,04;0,1;0;
P70;Brain, boiled;130;12;9;77;0;0,1;0,2;20;
P71;Bran, wheat;200;14;5,5;8;0;1;0,4;0;
P72;Brazil nuts;600;12;60;5;0;1;0,12;0;
P73;Bread rolls, starch reduced;380;44;4;8;0;0;0;0;
P74;Bread rolls, white;300;10;7;29;0;0,25;0,1;0;
P75;Bread, brown;220;9;2,2;39;0;0,25;0,05;0;
P76;Bread, malt;250;8;3;39;0;0;0;0;
P77;Bread, white;230;7,8;1,7;39;0;0,2;0,03;0;
P78;Bread, white toasted;300;9,6;1,7;24;0;0,2;0,04;0;
P79;Bread, wholemeal;220;8,8;2,7;40;0;0,3;0,08;0;
P80;Breadcrumbs,white;350;12;2;10;0;0,2;0,04;0;
P81;Broccoli tops, boiled;20;3;0;90;500;0,06;0,2;35;
P82;Broccoli tops, raw;25;3,3;0;89;500;0,1;0,3;100;
P83;Brussels sprouts, boiled;20;3;0;92;60;0,06;0,1;40;
P84;Brussels sprouts, raw;25;4;0;88;60;0,1;0,15;100;
P85;Buns, Currant;300;7;8;29;0;0,2;0,03;0;
P86;Butter;750;0,5;82;15,4;1000;0;0;0;
P87;Cabbage, savoy, boiled;10;1,3;0;96;50;0,03;0,03;15;
P88;Cabbage, savoy, raw;25;3;0;90;50;0,06;0,05;60;
P89;Cabbage, white, raw;20;2;0;90;0;0,06;0,05;40;
P90;Cabbage, winter, boiled;15;1,7;0;93;50;0,03;0,03;20;
P91;Cabbage, winter, raw;20;3;0;88;50;0,06;0,05;60;
P92;Cabbage,spring, boiled;7;1;0;97;100;0,03;0,03;25;
P93;Cake, fruit;330;4;11;20;120;0,1;0,1;0;
P94;Cake, Madeira;400;5;17;20;0;0,05;0,1;0;
P95;Cake, rock;400;5;16;15;200;0;0,1;0;
P96;Cake, sponge, with fat;460;6,5;27;15;300;0;0,1;0;
P97;Cake, sponge, without fat;300;10;7;30;100;0,1;0,25;0;
P98;Cakes, various, fancy, iced;400;4;15;13;0;0;0,05;0;
